[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5341s
[OPTIONS] /api/v1/jobs | Auth: No | Status: 200 | Time: 0.0003s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4137s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5306s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4593s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4122s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4008s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4310s
[OPTIONS] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/skills | Auth: No | Status: 200 | Time: 0.0006s
[OPTIONS] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/candidates | Auth: No | Status: 200 | Time: 0.0008s
[GET] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7044s
[GET] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7103s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4255s
[OPTIONS] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033 | Auth: No | Status: 200 | Time: 0.0007s
[PATCH] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033 | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7498s
[OPTIONS] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/confirm | Auth: No | Status: 200 | Time: 0.0002s
[GET] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7722s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7674s
[POST] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/confirm | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 400 | Time: 0.7856s
[GET] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7008s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7000s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6904s
[GET] /api/v1/jobs/ae21c871-32f6-49c7-9f65-501d77863033/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.6902s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4566s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5317s
[OPTIONS] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: No | Status: 200 | Time: 0.0018s
[OPTIONS] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/candidates | Auth: No | Status: 200 | Time: 0.0019s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/candidates | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5812s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.5829s
[OPTIONS] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255 | Auth: No | Status: 200 | Time: 0.0002s
[PATCH] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255 | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.8594s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.4239s
[OPTIONS] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/confirm | Auth: No | Status: 200 | Time: 0.0009s
[GET] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/skills | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.0202s
[POST] /api/v1/jobs/0a416eba-9d71-4cf6-9a19-1520cab05255/confirm | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 400 | Time: 1.0181s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 1.0178s
[GET] /api/v1/jobs | Auth: Yes (Bearer eyJhbGciOiJFUzI1Ni...) | Status: 200 | Time: 0.7950s
